clusters,labels
1,3
1,3
0,3
0,3
-1,3
-1,3
-1,3
-1,3
7,3
7,3
-1,3
-1,3
7,3
7,3
8,3
8,3
11,3
11,3
9,3
9,3
-1,3
-1,3
-1,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
-1,2
-1,2
7,3
7,3
8,3
-1,3
7,3
7,3
8,3
8,3
9,3
11,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
-1,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
11,3
9,3
9,3
-1,3
-1,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
-1,3
-1,3
13,3
13,3
-1,2
-1,2
-1,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
9,3
-1,3
9,3
10,3
9,3
10,3
9,3
10,3
9,3
10,3
9,3
10,3
9,3
9,3
10,3
9,3
-1,3
-1,3
15,3
-1,3
15,3
15,3
15,3
-1,3
15,3
15,3
15,3
15,3
15,3
15,3
10,3
9,3
10,3
9,3
-1,3
15,3
15,3
-1,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
-1,3
-1,3
10,3
-1,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
-1,3
-1,3
16,3
16,3
-1,2
-1,2
-1,3
-1,3
17,3
17,3
18,2
18,2
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,3
-1,3
-1,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
11,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
20,3
-1,3
21,3
20,3
19,3
21,3
19,3
20,3
19,3
19,3
19,3
20,3
19,3
19,3
13,3
13,3
-1,3
0,3
-1,3
23,3
-1,3
-1,3
17,3
17,3
7,3
7,3
8,3
-1,3
7,3
7,3
8,3
8,3
17,3
17,3
17,3
17,3
17,3
17,3
-1,3
11,3
9,3
9,3
-1,3
-1,3
17,3
17,3
17,3
17,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
17,3
17,3
9,3
9,3
9,3
9,3
1,3
2,3
9,3
9,3
9,3
9,3
-1,3
13,3
9,3
9,3
9,3
9,3
-1,3
15,3
15,3
-1,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
-1,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
9,3
-1,3
10,3
10,3
